School ID,Q1(%),Q2(%),Q3(%),Q4(%),School,Board,Num students,Level 1 (%),Level 2 (%),Level 3 (%),Level 4 (%),Num F,Num M,Q8(%),Q11(%),Q5(%),Q6(%),Q7(%),School UPPER,Board lower,School lenght,Board Reverse,School Left,School Right,Total male and female
925535,57,52,46,44,Mississauga Secondary School,Peel District School Board,266,2,10,79,8,129,137,33,61,82,35,77,MISSISSAUGA SECONDARY SCHOOL,peel district school board,28,draoB loohcS tcirtsiD leeP,Mis,ool,266
925551,56,56,51,41,Meadowvale SS,Peel District School Board,252,3,12,77,8,118,134,32,58,78,28,71,MEADOWVALE SS,peel district school board,13,draoB loohcS tcirtsiD leeP,Mea, SS,252
927384,52,44,35,35,Monarch Park Collegiate,Toronto DSB,148,5,14,68,8,90,58,28,41,66,20,63,MONARCH PARK COLLEGIATE,toronto dsb,23,BSD otnoroT,Mon,ate,148
928810,48,39,38,36,Newtonbrook SS,Toronto DSB,156,11,14,62,9,76,80,35,50,65,26,62,NEWTONBROOK SS,toronto dsb,14,BSD otnoroT,New, SS,156
929468,67,50,39,47,North Albion CI,Toronto DSB,131,7,9,79,3,73,58,51,70,82,34,71,NORTH ALBION CI,toronto dsb,15,BSD otnoroT,Nor, CI,131
930504,56,59,50,39,North Toronto CI,Toronto DSB,276,4,9,69,18,163,113,29,55,75,33,61,NORTH TORONTO CI,toronto dsb,16,BSD otnoroT,Nor, CI,276
930660,60,53,46,46,North Park SS,Peel District School Board,289,2,12,74,11,120,169,44,68,74,29,73,NORTH PARK SS,peel district school board,13,draoB loohcS tcirtsiD leeP,Nor, SS,289
930768,52,55,50,35,Northern SS,Toronto DSB,383,4,5,67,22,165,218,30,53,73,27,56,NORTHERN SS,toronto dsb,11,BSD otnoroT,Nor, SS,383
931020,62,56,48,44,Northview Heights SS,Toronto DSB,291,2,6,71,19,139,152,40,60,74,29,70,NORTHVIEW HEIGHTS SS,toronto dsb,20,BSD otnoroT,Nor, SS,291
933198,66,57,48,57,Marc Garneau CI,Toronto DSB,238,3,14,62,19,103,135,39,61,76,35,66,MARC GARNEAU CI,toronto dsb,15,BSD otnoroT,Mar, CI,238
933759,55,39,36,48,Parkdale CI,Toronto DSB,125,14,15,58,8,60,65,51,50,67,15,62,PARKDALE CI,toronto dsb,11,BSD otnoroT,Par, CI,125
935832,63,56,52,48,Port Credit SS,Peel District School Board,224,2,6,73,19,87,137,46,68,84,33,70,PORT CREDIT SS,peel district school board,14,draoB loohcS tcirtsiD leeP,Por, SS,224
936480,41,48,41,24,Preston HS,Waterloo Region DSB,149,1,11,78,7,83,66,25,55,63,21,70,PRESTON HS,waterloo region dsb,10,BSD noigeR oolretaW,Pre, HS,149
937266,60,56,49,42,R H King Academy,Toronto DSB,231,1,12,82,5,123,108,31,58,77,34,68,R H KING ACADEMY,toronto dsb,16,BSD otnoroT,R H,emy,231
937592,45,38,33,30,Dr Norman Bethune CI,Toronto DSB,185,1,7,64,28,95,90,30,58,71,25,61,DR NORMAN BETHUNE CI,toronto dsb,20,BSD otnoroT,Dr , CI,185
938009,63,58,45,43,Rick Hansen SS,Peel District School Board,343,2,8,77,13,169,174,45,61,80,34,77,RICK HANSEN SS,peel district school board,14,draoB loohcS tcirtsiD leeP,Ric, SS,343
938173,50,52,49,34,Richview CI,Toronto DSB,222,1,7,83,9,111,111,30,62,68,27,61,RICHVIEW CI,toronto dsb,11,BSD otnoroT,Ric, CI,222
939080,51,44,40,35,Riverdale CI,Toronto DSB,237,2,7,78,14,113,124,41,56,70,26,56,RIVERDALE CI,toronto dsb,12,BSD otnoroT,Riv, CI,237
939596,61,55,46,38,Sandalwood Heights,Peel District School Board,222,3,10,80,7,99,123,39,69,77,31,68,SANDALWOOD HEIGHTS,peel district school board,18,draoB loohcS tcirtsiD leeP,San,hts,222
941425,42,48,41,33,Silverthorn CI,Toronto DSB,142,3,11,75,10,66,76,33,58,78,22,63,SILVERTHORN CI,toronto dsb,14,BSD otnoroT,Sil, CI,142
941948,50,50,43,41,Sir John A Macdonald CI,Toronto DSB,168,2,9,74,14,80,88,36,59,70,28,59,SIR JOHN A MACDONALD CI,toronto dsb,23,BSD otnoroT,Sir, CI,168
941972,45,55,44,30,Sir Oliver Mowat CI,Toronto DSB,186,5,12,74,9,81,105,30,59,73,30,58,SIR OLIVER MOWAT CI,toronto dsb,19,BSD otnoroT,Sir, CI,186
942006,54,60,49,44,Sir John A Macdonald SS,Waterloo Region DSB,248,2,7,65,25,118,130,37,58,80,36,74,SIR JOHN A MACDONALD SS,waterloo region dsb,23,BSD noigeR oolretaW,Sir, SS,248
